Sentence,Noun,Gender,Case
Die Schönheit der Landschaft wirft die Reisenden um.,Schönheit,Fem,Nom
Die Schönheit der Landschaft wirft die Reisenden um.,Landschaft,Fem,Gen
Niemand kennt die Wahrheit in dieser Sache.,Wahrheit,Fem,Acc
Niemand kennt die Wahrheit in dieser Sache.,Sache,Fem,Dat
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Diktatur,Fem,Dat
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Meinungsfreiheit,Fem,Nom
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Freiheit,Fem,Nom
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Gleichheit,Fem,Nom
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Brüderlichkeit,Fem,Nom
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Leitspruch,Masc,Nom
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Republik,Fem,Gen
Er hat dir nicht aus Gutherzigkeit geholfen.,Gutherzigkeit,Fem,Dat
Seine Boshaftigkeit kannte keine Grenzen.,Boshaftigkeit,Fem,Nom
Seine Boshaftigkeit kannte keine Grenzen.,Grenzen,Fem,Acc
Seine Eleganz beeindruckte die Runde,Eleganz,Fem,Nom
Seine Eleganz beeindruckte die Runde,Runde,Fem,Acc
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Unterschied,Masc,Acc
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Kultur,Fem,Dat
Er hat gehobene Ideale.,Ideale,Neut,Acc
Er war sehr erstaunt über die Modernität der Metro.,Modernität,Fem,Acc
Er war sehr erstaunt über die Modernität der Metro.,Metro,Fem,Gen
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Qualität,Fem,Nom
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Arbeit,Fem,Gen
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Jury,Fem,Dat
Eine groβe Menge Öl ist ins Meer geflossen.,groβe,Neut,Nom
Eine groβe Menge Öl ist ins Meer geflossen.,Menge,Fem,Nom
Eine groβe Menge Öl ist ins Meer geflossen.,Öl,Neut,Nom
Eine groβe Menge Öl ist ins Meer geflossen.,Meer,Neut,Acc
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Sauberkeit,Fem,Dat
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Wohnung,Fem,Dat
Das ist ein sehr hübscher junger Mann.,Mann,Masc,Nom
Seine Mutter macht sehr gute Torten.,Mutter,Fem,Nom
Seine Rechnungen sind falsch.,Rechnungen,Fem,Nom
Sein Witz war geschmacklos.,Witz,Masc,Nom
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Strand,Masc,Acc
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Wetter,Neut,Nom
Er hat die falsche Antwort gegeben,Antwort,Fem,Acc
Dieser kleine Hund ist sehr hässlich.,Hund,Masc,Nom
Das ist ein schnelles aber schwer zu fahrendes Auto.,Auto,Neut,Acc
Dieser Lastwagen ist sehr langsam.,Lastwagen,Masc,Nom
Es ist kalt in seiner Wohnung.,Wohnung,Fem,Dat
Dieses Gericht ist sehr warm.,Gericht,Neut,Nom
"Die Katze ist zu hoch oben, ich schaffe nicht sie zu packen.",Katze,Fem,Nom
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Wasserspiegel,Masc,Nom
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Flusses,Masc,Gen
Der Marianengraben ist der tiefste im Pazifik.,Marianengraben,Masc,Nom
Seine Wunde ist nur oberflächlich.,Wunde,Fem,Nom
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Schritt,Masc,Nom
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Menschen,Masc,Acc
