File Name,Detected Language,Max Overlap,Language Matches
tel-03435883.txt,French,27900,"{'English': 12780, 'French': 27900, 'Portuguese': 7831}"
tel-03435884.txt,French,33856,"{'English': 20745, 'French': 33856, 'Portuguese': 9871}"
tel-03435885.txt,English,25626,"{'English': 25626, 'French': 5370, 'Portuguese': 3270}"
tel-03435936.txt,French,13528,"{'English': 11359, 'French': 13528, 'Portuguese': 4359}"
tel-03436011.txt,French,63485,"{'English': 5360, 'French': 63485, 'Portuguese': 14769}"
tel-03436023.txt,English,14389,"{'English': 14389, 'French': 1824, 'Portuguese': 2152}"
tel-03436024.txt,English,19535,"{'English': 19535, 'French': 3536, 'Portuguese': 2707}"
tel-03436025.txt,French,17665,"{'English': 2916, 'French': 17665, 'Portuguese': 4612}"
tel-03436087.txt,French,50606,"{'English': 8300, 'French': 50606, 'Portuguese': 11744}"
tel-03436137.txt,English,21133,"{'English': 21133, 'French': 7319, 'Portuguese': 2762}"
tel-03436157.txt,English,15346,"{'English': 15346, 'French': 2299, 'Portuguese': 1855}"
tel-03436173.txt,English,23483,"{'English': 23483, 'French': 3608, 'Portuguese': 2972}"
tel-03436335.txt,French,13955,"{'English': 6475, 'French': 13955, 'Portuguese': 4031}"
tel-03436364.txt,French,4725,"{'English': 1337, 'French': 4725, 'Portuguese': 1434}"
tel-03436368.txt,French,84118,"{'English': 6662, 'French': 84118, 'Portuguese': 20967}"
tel-03436372.txt,French,80906,"{'English': 6575, 'French': 80906, 'Portuguese': 19365}"
tel-03436394.txt,French,76454,"{'English': 71879, 'French': 76454, 'Portuguese': 59312}"
tel-03436405.txt,French,96417,"{'English': 7642, 'French': 96417, 'Portuguese': 22349}"
tel-03436409.txt,English,17020,"{'English': 17020, 'French': 3581, 'Portuguese': 2620}"
tel-03436501.txt,English,11003,"{'English': 11003, 'French': 2184, 'Portuguese': 1483}"
tel-03436527.txt,French,7856,"{'English': 1442, 'French': 7856, 'Portuguese': 1964}"
tel-03436530.txt,English,23024,"{'English': 23024, 'French': 5251, 'Portuguese': 3438}"
tel-03436542.txt,French,94561,"{'English': 7723, 'French': 94561, 'Portuguese': 21200}"
tel-03436545.txt,French,4288,"{'English': 282, 'French': 4288, 'Portuguese': 1016}"
tel-03436548.txt,French,138961,"{'English': 12843, 'French': 138961, 'Portuguese': 34502}"
tel-03436551.txt,French,2940,"{'English': 766, 'French': 2940, 'Portuguese': 1079}"
tel-03437063.txt,English,20477,"{'English': 20477, 'French': 1937, 'Portuguese': 1578}"
tel-03437096.txt,English,30024,"{'English': 30024, 'French': 5659, 'Portuguese': 4074}"
tel-03437282.txt,English,26982,"{'English': 26982, 'French': 6848, 'Portuguese': 3092}"
tel-03437572.txt,English,15027,"{'English': 15027, 'French': 2316, 'Portuguese': 1919}"
tel-03437573.txt,English,17685,"{'English': 17685, 'French': 3277, 'Portuguese': 2652}"
tel-03437616.txt,French,12623,"{'English': 2543, 'French': 12623, 'Portuguese': 3222}"
tel-03438100.txt,French,41447,"{'English': 5243, 'French': 41447, 'Portuguese': 18064}"
tel-03438101.txt,French,11845,"{'English': 2515, 'French': 11845, 'Portuguese': 2869}"
tel-03438102.txt,French,20603,"{'English': 3179, 'French': 20603, 'Portuguese': 5752}"
tel-03438103.txt,English,22842,"{'English': 22842, 'French': 6527, 'Portuguese': 4259}"
tel-03438104.txt,English,33216,"{'English': 33216, 'French': 8100, 'Portuguese': 5446}"
tel-03438105.txt,French,17050,"{'English': 2472, 'French': 17050, 'Portuguese': 4682}"
tel-03438755.txt,English,19279,"{'English': 19279, 'French': 3452, 'Portuguese': 2430}"
tel-03438811.txt,Portuguese,46526,"{'English': 10312, 'French': 14707, 'Portuguese': 46526}"
tel-03438828.txt,English,41169,"{'English': 41169, 'French': 4605, 'Portuguese': 4938}"
tel-03438829.txt,Portuguese,55299,"{'English': 13870, 'French': 15508, 'Portuguese': 55299}"
tel-03438863.txt,English,19597,"{'English': 19597, 'French': 1996, 'Portuguese': 2291}"
tel-03438921.txt,English,14280,"{'English': 14280, 'French': 2171, 'Portuguese': 1863}"
tel-03438923.txt,French,31493,"{'English': 5621, 'French': 31493, 'Portuguese': 8076}"
tel-03438925.txt,English,24921,"{'English': 24921, 'French': 2799, 'Portuguese': 2373}"
tel-03438938.txt,French,20912,"{'English': 2617, 'French': 20912, 'Portuguese': 5806}"
tel-03439261.txt,English,11173,"{'English': 11173, 'French': 1471, 'Portuguese': 1724}"
tel-03439346.txt,French,94995,"{'English': 10289, 'French': 94995, 'Portuguese': 21338}"
tel-03439354.txt,English,36027,"{'English': 36027, 'French': 6353, 'Portuguese': 4986}"
