Sentence,Question,Options,Correct Answer
The beauty of the landscape struck the travellers.,Is the word 'beauty' a noun or a pronoun?,"Noun, Pronoun",Noun
The beauty of the landscape struck the travellers.,Is the word 'landscape' a noun or a pronoun?,"Noun, Pronoun",Noun
The beauty of the landscape struck the travellers.,Is the word 'travellers' a noun or a pronoun?,"Noun, Pronoun",Noun
Nobody knows the truth about this affair.,Is the word 'Nobody' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Nobody knows the truth about this affair.,Is the word 'truth' a noun or a pronoun?,"Noun, Pronoun",Noun
Nobody knows the truth about this affair.,Is the word 'affair' a noun or a pronoun?,"Noun, Pronoun",Noun
"In a dictatorship, freedom of expression is limited.",Is the word 'dictatorship' a noun or a pronoun?,"Noun, Pronoun",Noun
"In a dictatorship, freedom of expression is limited.",Is the word 'freedom' a noun or a pronoun?,"Noun, Pronoun",Noun
"In a dictatorship, freedom of expression is limited.",Is the word 'expression' a noun or a pronoun?,"Noun, Pronoun",Noun
"Liberty, equality, fraternity is the motto of the French republic.",Is the word 'equality' a noun or a pronoun?,"Noun, Pronoun",Noun
"Liberty, equality, fraternity is the motto of the French republic.",Is the word 'fraternity' a noun or a pronoun?,"Noun, Pronoun",Noun
"Liberty, equality, fraternity is the motto of the French republic.",Is the word 'motto' a noun or a pronoun?,"Noun, Pronoun",Noun
"Liberty, equality, fraternity is the motto of the French republic.",Is the word 'republic' a noun or a pronoun?,"Noun, Pronoun",Noun
He did not help you out of kindness.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He did not help you out of kindness.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He did not help you out of kindness.,Is the word 'kindness' a noun or a pronoun?,"Noun, Pronoun",Noun
His wickedness had no limits.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His wickedness had no limits.,Is the word 'wickedness' a noun or a pronoun?,"Noun, Pronoun",Noun
His wickedness had no limits.,Is the word 'limits' a noun or a pronoun?,"Noun, Pronoun",Noun
His elegance impressed the assembly.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His elegance impressed the assembly.,Is the word 'elegance' a noun or a pronoun?,"Noun, Pronoun",Noun
His elegance impressed the assembly.,Is the word 'assembly' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a big difference between the western and the asiatic culture.,Is the word 'There' a noun or a pronoun?,"Noun, Pronoun",Pronoun
There is a big difference between the western and the asiatic culture.,Is the word 'difference' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a big difference between the western and the asiatic culture.,Is the word 'culture' a noun or a pronoun?,"Noun, Pronoun",Noun
He has high ideals.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has high ideals.,Is the word 'ideals' a noun or a pronoun?,"Noun, Pronoun",Noun
He was struck by the modernity of the underground.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was struck by the modernity of the underground.,Is the word 'modernity' a noun or a pronoun?,"Noun, Pronoun",Noun
He was struck by the modernity of the underground.,Is the word 'underground' a noun or a pronoun?,"Noun, Pronoun",Noun
The quality of his work was acknowledged by the jury.,Is the word 'quality' a noun or a pronoun?,"Noun, Pronoun",Noun
The quality of his work was acknowledged by the jury.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The quality of his work was acknowledged by the jury.,Is the word 'work' a noun or a pronoun?,"Noun, Pronoun",Noun
The quality of his work was acknowledged by the jury.,Is the word 'jury' a noun or a pronoun?,"Noun, Pronoun",Noun
A significant amount of oil has spilt in the sea.,Is the word 'amount' a noun or a pronoun?,"Noun, Pronoun",Noun
A significant amount of oil has spilt in the sea.,Is the word 'oil' a noun or a pronoun?,"Noun, Pronoun",Noun
