Satz,Frage,Optionen,Richtige Antwort
Die Schönheit der Landschaft wirft die Reisenden um.,Was ist das Geschlecht des Wortes 'Schönheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Schönheit der Landschaft wirft die Reisenden um.,Welcher Fall wird für das Wort 'Schönheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Schönheit der Landschaft wirft die Reisenden um.,Was ist das Geschlecht des Wortes 'Landschaft'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Schönheit der Landschaft wirft die Reisenden um.,Welcher Fall wird für das Wort 'Landschaft' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Niemand kennt die Wahrheit in dieser Sache.,Was ist das Geschlecht des Wortes 'Wahrheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Niemand kennt die Wahrheit in dieser Sache.,Welcher Fall wird für das Wort 'Wahrheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Niemand kennt die Wahrheit in dieser Sache.,Was ist das Geschlecht des Wortes 'Sache'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Niemand kennt die Wahrheit in dieser Sache.,Welcher Fall wird für das Wort 'Sache' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Was ist das Geschlecht des Wortes 'Diktatur'?,"['maskulin', 'feminin', 'neutral']",['Fem']
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Welcher Fall wird für das Wort 'Diktatur' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Was ist das Geschlecht des Wortes 'Meinungsfreiheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
In einer Diktatur ist die Meinungsfreiheit eingeschränkt.,Welcher Fall wird für das Wort 'Meinungsfreiheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Was ist das Geschlecht des Wortes 'Freiheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Welcher Fall wird für das Wort 'Freiheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Was ist das Geschlecht des Wortes 'Gleichheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Welcher Fall wird für das Wort 'Gleichheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Was ist das Geschlecht des Wortes 'Brüderlichkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Welcher Fall wird für das Wort 'Brüderlichkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Was ist das Geschlecht des Wortes 'Leitspruch'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Welcher Fall wird für das Wort 'Leitspruch' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Was ist das Geschlecht des Wortes 'Republik'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Freiheit, Gleichheit, Brüderlichkeit ist der Leitspruch der Französischen Republik.",Welcher Fall wird für das Wort 'Republik' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Er hat dir nicht aus Gutherzigkeit geholfen.,Was ist das Geschlecht des Wortes 'Gutherzigkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er hat dir nicht aus Gutherzigkeit geholfen.,Welcher Fall wird für das Wort 'Gutherzigkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Seine Boshaftigkeit kannte keine Grenzen.,Was ist das Geschlecht des Wortes 'Boshaftigkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Boshaftigkeit kannte keine Grenzen.,Welcher Fall wird für das Wort 'Boshaftigkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Boshaftigkeit kannte keine Grenzen.,Was ist das Geschlecht des Wortes 'Grenzen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Boshaftigkeit kannte keine Grenzen.,Welcher Fall wird für das Wort 'Grenzen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Seine Eleganz beeindruckte die Runde,Was ist das Geschlecht des Wortes 'Eleganz'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Eleganz beeindruckte die Runde,Welcher Fall wird für das Wort 'Eleganz' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Eleganz beeindruckte die Runde,Was ist das Geschlecht des Wortes 'Runde'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Eleganz beeindruckte die Runde,Welcher Fall wird für das Wort 'Runde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Was ist das Geschlecht des Wortes 'Unterschied'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Welcher Fall wird für das Wort 'Unterschied' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Was ist das Geschlecht des Wortes 'Kultur'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Es gibt einen groβen Unterschied zwischen der asiatischen und der europäischen Kultur,Welcher Fall wird für das Wort 'Kultur' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er hat gehobene Ideale.,Was ist das Geschlecht des Wortes 'Ideale'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er hat gehobene Ideale.,Welcher Fall wird für das Wort 'Ideale' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er war sehr erstaunt über die Modernität der Metro.,Was ist das Geschlecht des Wortes 'Modernität'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er war sehr erstaunt über die Modernität der Metro.,Welcher Fall wird für das Wort 'Modernität' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er war sehr erstaunt über die Modernität der Metro.,Was ist das Geschlecht des Wortes 'Metro'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er war sehr erstaunt über die Modernität der Metro.,Welcher Fall wird für das Wort 'Metro' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Was ist das Geschlecht des Wortes 'Qualität'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Welcher Fall wird für das Wort 'Qualität' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Was ist das Geschlecht des Wortes 'Arbeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Welcher Fall wird für das Wort 'Arbeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Was ist das Geschlecht des Wortes 'Jury'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Qualität seiner Arbeit wurde von der Jury anerkannt.,Welcher Fall wird für das Wort 'Jury' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Eine groβe Menge Öl ist ins Meer geflossen.,Was ist das Geschlecht des Wortes 'groβe'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Eine groβe Menge Öl ist ins Meer geflossen.,Welcher Fall wird für das Wort 'groβe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Eine groβe Menge Öl ist ins Meer geflossen.,Was ist das Geschlecht des Wortes 'Menge'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Eine groβe Menge Öl ist ins Meer geflossen.,Welcher Fall wird für das Wort 'Menge' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Eine groβe Menge Öl ist ins Meer geflossen.,Was ist das Geschlecht des Wortes 'Öl'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Eine groβe Menge Öl ist ins Meer geflossen.,Welcher Fall wird für das Wort 'Öl' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Eine groβe Menge Öl ist ins Meer geflossen.,Was ist das Geschlecht des Wortes 'Meer'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Eine groβe Menge Öl ist ins Meer geflossen.,Welcher Fall wird für das Wort 'Meer' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Was ist das Geschlecht des Wortes 'Sauberkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Welcher Fall wird für das Wort 'Sauberkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Was ist das Geschlecht des Wortes 'Wohnung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er war erstaunt von der Sauberkeit in seiner Wohnung.,Welcher Fall wird für das Wort 'Wohnung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Das ist ein sehr hübscher junger Mann.,Was ist das Geschlecht des Wortes 'Mann'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Das ist ein sehr hübscher junger Mann.,Welcher Fall wird für das Wort 'Mann' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Mutter macht sehr gute Torten.,Was ist das Geschlecht des Wortes 'Mutter'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Mutter macht sehr gute Torten.,Welcher Fall wird für das Wort 'Mutter' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Rechnungen sind falsch.,Was ist das Geschlecht des Wortes 'Rechnungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Rechnungen sind falsch.,Welcher Fall wird für das Wort 'Rechnungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sein Witz war geschmacklos.,Was ist das Geschlecht des Wortes 'Witz'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sein Witz war geschmacklos.,Welcher Fall wird für das Wort 'Witz' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Was ist das Geschlecht des Wortes 'Strand'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Welcher Fall wird für das Wort 'Strand' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Was ist das Geschlecht des Wortes 'Wetter'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Wir sind nicht an den Strand gegangen, weil das Wetter schlecht war.",Welcher Fall wird für das Wort 'Wetter' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er hat die falsche Antwort gegeben,Was ist das Geschlecht des Wortes 'Antwort'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er hat die falsche Antwort gegeben,Welcher Fall wird für das Wort 'Antwort' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieser kleine Hund ist sehr hässlich.,Was ist das Geschlecht des Wortes 'Hund'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dieser kleine Hund ist sehr hässlich.,Welcher Fall wird für das Wort 'Hund' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Das ist ein schnelles aber schwer zu fahrendes Auto.,Was ist das Geschlecht des Wortes 'Auto'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Das ist ein schnelles aber schwer zu fahrendes Auto.,Welcher Fall wird für das Wort 'Auto' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieser Lastwagen ist sehr langsam.,Was ist das Geschlecht des Wortes 'Lastwagen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dieser Lastwagen ist sehr langsam.,Welcher Fall wird für das Wort 'Lastwagen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Es ist kalt in seiner Wohnung.,Was ist das Geschlecht des Wortes 'Wohnung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Es ist kalt in seiner Wohnung.,Welcher Fall wird für das Wort 'Wohnung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Dieses Gericht ist sehr warm.,Was ist das Geschlecht des Wortes 'Gericht'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Dieses Gericht ist sehr warm.,Welcher Fall wird für das Wort 'Gericht' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Die Katze ist zu hoch oben, ich schaffe nicht sie zu packen.",Was ist das Geschlecht des Wortes 'Katze'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Die Katze ist zu hoch oben, ich schaffe nicht sie zu packen.",Welcher Fall wird für das Wort 'Katze' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Was ist das Geschlecht des Wortes 'Wasserspiegel'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Welcher Fall wird für das Wort 'Wasserspiegel' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Was ist das Geschlecht des Wortes 'Flusses'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Wasserspiegel des Flusses ist niedrig wegen der Trockenheit.,Welcher Fall wird für das Wort 'Flusses' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Der Marianengraben ist der tiefste im Pazifik.,Was ist das Geschlecht des Wortes 'Marianengraben'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Marianengraben ist der tiefste im Pazifik.,Welcher Fall wird für das Wort 'Marianengraben' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Wunde ist nur oberflächlich.,Was ist das Geschlecht des Wortes 'Wunde'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Wunde ist nur oberflächlich.,Welcher Fall wird für das Wort 'Wunde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Was ist das Geschlecht des Wortes 'Schritt'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Welcher Fall wird für das Wort 'Schritt' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Was ist das Geschlecht des Wortes 'Menschen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Welcher Fall wird für das Wort 'Menschen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Was ist das Geschlecht des Wortes 'Schritt'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Welcher Fall wird für das Wort 'Schritt' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Was ist das Geschlecht des Wortes 'Menschheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Welcher Fall wird für das Wort 'Menschheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dein Bruder ist sehr groß.,Was ist das Geschlecht des Wortes 'Bruder'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dein Bruder ist sehr groß.,Welcher Fall wird für das Wort 'Bruder' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Ich habe nur weiße Hemden.,Was ist das Geschlecht des Wortes 'Hemden'?,"['maskulin', 'feminin', 'neutral']",['Fem']
