Exercise,Options,Answer
The ______ of the landscape struck the travellers.,"beauty, beauties",beauty
The beauty of the ______ struck the travellers.,"landscape, landscapes",landscape
The beauty of the landscape struck the ______.,"travellers, traveller",travellers
Nobody knows the ______ about this affair.,"truth, truths",truth
Nobody knows the truth about this ______.,"affair, affairs",affair
"In a ______, freedom of expression is limited.","dictatorship, dictatorships",dictatorship
"In a dictatorship, ______ of expression is limited.","freedom, freedoms",freedom
"In a dictatorship, freedom of ______ is limited.","expression, expressions",expression
"Liberty, ______, fraternity is the motto of the French republic.","equality, equalities",equality
"Liberty, equality, ______ is the motto of the French republic.","fraternity, fraternities",fraternity
"Liberty, equality, fraternity is the ______ of the French republic.","motto, mottoes",motto
He did not help you out of ______.,"kindness, kindnesses",kindness
His ______ had no limits.,"wickedness, wickednesses",wickedness
His wickedness had no ______.,"limits, limit",limits
His ______ impressed the assembly.,"elegance, elegances",elegance
His elegance impressed the ______.,"assembly, assemblies",assembly
There is a big ______ between the western and the asiatic culture.,"difference, differences",difference
There is a big difference between the western and the asiatic ______.,"culture, cultures",culture
He has high ______.,"ideals, ideal",ideals
He was struck by the ______ of the underground.,"modernity, modernities",modernity
He was struck by the modernity of the ______.,"underground, undergrounds",underground
The ______ of his work was acknowledged by the jury.,"quality, qualities",quality
The quality of his ______ was acknowledged by the jury.,"work, works",work
The quality of his work was acknowledged by the ______.,"jury, juries",jury
A significant ______ of oil has spilt in the sea.,"amount, amounts",amount
A significant amount of ______ has spilt in the sea.,"oil, oils",oil
A significant amount of oil has spilt in the ______.,"sea, seas",sea
He has been impressed by the ______ of his flat.,"cleanliness, cleanlinesses",cleanliness
He has been impressed by the cleanliness of his ______.,"flat, flats",flat
He is a very handsome young ______.,"man, men",man
His ______ makes very tasty pies.,"mother, mothers",mother
His mother makes very tasty ______.,"pies, py",pies
His ______ were wrong.,"calculations, calculation",calculations
His ______ was in bad taste.,"joke, jokes",joke
His joke was in bad ______.,"taste, tastes",taste
We did not go to the ______ because the weather was bad.,"beach, beaches",beach
We did not go to the beach because the ______ was bad.,"weather, weathers",weather
He gave the wrong ______.,"answer, answers",answer
This little ______ is very ugly.,"dog, dogs",dog
